연번,성별,적발횟수,나이,알콜농도,측정일시,관할경찰서
5807,남자,1,47,0.109,2020-01-19 0:23,서울도봉경찰서
5808,남자,1,26,0.126,2020-01-19 0:23,울산남부경찰서
5809,남자,1,52,0.065,2020-01-19 0:26,시흥경찰서
5810,여자,1,43,0.07,2020-01-19 0:30,인천미추홀경찰서
5811,남자,1,55,0.076,2020-01-19 0:32,경산경찰서
5812,남자,1,36,0.098,2020-01-19 0:33,김해중부경찰서
5813,남자,1,22,0.101,2020-01-19 0:34,천안동남경찰서
5814,남자,1,49,0.214,2020-01-19 0:34,부산북부경찰서
5815,남자,1,46,측정거부,2020-01-19 0:36,화성서부경찰서
5816,남자,1,40,0.035,2020-01-19 0:36,울산남부경찰서
5817,남자,1,27,0.031,2020-01-19 0:37,인천미추홀경찰서
5818,남자,1,52,0.083,2020-01-19 0:38,김해중부경찰서
5819,남자,1,57,0.104,2020-01-19 0:38,대구동부경찰서
5820,남자,1,36,0.129,2020-01-19 0:39,용인동부경찰서
5821,남자,1,36,0.07,2020-01-19 0:39,광주광산경찰서
5822,남자,1,38,0.069,2020-01-19 0:41,울산중부경찰서
5823,남자,1,40,0.04,2020-01-19 0:44,서울관악경찰서
5824,남자,1,59,0.185,2020-01-19 0:45,철원경찰서
5825,남자,1,23,0.099,2020-01-19 0:46,울산남부경찰서
5826,남자,1,49,0.049,2020-01-19 0:49,이천경찰서
5827,남자,1,31,0.089,2020-01-19 0:49,안산상록경찰서
5828,남자,1,37,0.076,2020-01-19 0:53,남양주경찰서
5829,남자,1,39,0.114,2020-01-19 0:54,여수경찰서
5830,남자,1,52,0.074,2020-01-19 0:55,공주경찰서
5831,여자,1,54,0.068,2020-01-19 0:55,김해서부경찰서
5832,남자,1,33,0.203,2020-01-19 0:56,수원남부경찰서
5833,남자,1,37,0.043,2020-01-19 1:02,서울강서경찰서
5834,남자,1,58,0.067,2020-01-19 1:05,공주경찰서
5835,남자,1,36,0.096,2020-01-19 1:05,수원남부경찰서
5836,남자,1,24,0.117,2020-01-19 1:08,대전유성경찰서
5837,남자,1,28,0.106,2020-01-19 1:09,칠곡경찰서
5838,여자,1,22,0.137,2020-01-19 1:09,여주경찰서
5839,남자,1,30,0.107,2020-01-19 1:09,구미경찰서
5840,남자,1,37,0.119,2020-01-19 1:12,부산동래경찰서
5841,남자,1,38,0.075,2020-01-19 1:13,부천원미경찰서
5842,남자,1,26,0.048,2020-01-19 1:14,의정부경찰서
5843,남자,1,47,0.121,2020-01-19 1:15,대전둔산경찰서
5844,남자,1,52,0.112,2020-01-19 1:16,울진경찰서
5845,남자,1,48,0.114,2020-01-19 1:19,통영경찰서
5846,남자,1,33,0.074,2020-01-19 1:20,서울송파경찰서
5847,여자,1,46,0.07,2020-01-19 1:20,마산동부경찰서
5848,남자,1,36,0.033,2020-01-19 1:22,부산금정경찰서
5849,남자,1,27,0.189,2020-01-19 1:24,아산경찰서
5850,남자,1,53,0.076,2020-01-19 1:25,광명경찰서
5851,남자,1,28,0.058,2020-01-19 1:26,서울도봉경찰서
5852,남자,1,25,0.037,2020-01-19 1:31,논산경찰서
5853,남자,1,24,0.152,2020-01-19 1:33,수원중부경찰서
5854,남자,1,43,측정거부,2020-01-19 1:36,안산단원경찰서
5855,남자,1,41,0.109,2020-01-19 1:36,안산상록경찰서
5856,남자,1,35,0.137,2020-01-19 1:37,담양경찰서
5857,남자,1,28,0.211,2020-01-19 1:37,시흥경찰서
5858,남자,1,37,0.127,2020-01-19 1:38,거제경찰서
5859,남자,1,36,0.068,2020-01-19 1:44,제주동부경찰서
5860,여자,1,50,0.078,2020-01-19 1:44,경주경찰서
5861,여자,1,24,0.141,2020-01-19 1:46,서울종로경찰서
5862,남자,1,38,0.033,2020-01-19 1:47,전주완산경찰서
5863,남자,1,38,0.169,2020-01-19 1:50,김포경찰서
5864,여자,1,52,0.19,2020-01-19 1:50,일산동부경찰서
5865,남자,1,27,0.122,2020-01-19 1:52,남양주경찰서
5866,남자,1,45,0.143,2020-01-19 1:54,광양경찰서
5867,남자,1,22,0.095,2020-01-19 1:55,광주경찰서
5868,여자,1,49,0.115,2020-01-19 1:55,홍천경찰서
5869,남자,1,27,0.152,2020-01-19 1:56,전주덕진경찰서
5870,남자,1,55,0.171,2020-01-19 1:57,서울종로경찰서
5871,남자,1,35,0.133,2020-01-19 2:01,안양만안경찰서
5872,남자,2,42,0.274,2020-01-19 2:03,전주완산경찰서
5873,여자,1,29,0.15,2020-01-19 2:03,광주북부경찰서
5874,남자,1,53,0.139,2020-01-19 2:04,대구강북경찰서
5875,남자,1,38,0.096,2020-01-19 2:04,포천경찰서
5876,여자,1,46,0.061,2020-01-19 2:04,청주청원경찰서
5877,남자,1,38,0.201,2020-01-19 2:10,광주서부경찰서
5878,남자,1,37,0.14,2020-01-19 2:14,인천계양경찰서
5879,남자,1,49,0.09,2020-01-19 2:15,부산사하경찰서
5880,남자,1,20,0.133,2020-01-19 2:16,인천서부경찰서
5881,남자,1,43,0.138,2020-01-19 2:16,오산경찰서
5882,남자,1,30,0.172,2020-01-19 2:17,서울마포경찰서
5883,여자,1,30,0.151,2020-01-19 2:18,성남중원경찰서
5884,남자,1,37,측정거부,2020-01-19 2:20,성남중원경찰서
5885,남자,1,30,0.069,2020-01-19 2:21,서울송파경찰서
5886,남자,1,37,0.153,2020-01-19 2:22,서울강북경찰서
5887,남자,1,51,0.133,2020-01-19 2:23,서울중랑경찰서
5888,남자,1,41,0.048,2020-01-19 2:30,전주완산경찰서
5889,남자,1,33,0.12,2020-01-19 2:30,대구북부경찰서
5890,남자,1,33,0.117,2020-01-19 2:32,대구수성경찰서
5891,남자,1,36,0.328,2020-01-19 2:35,대구수성경찰서
5892,남자,1,54,0.085,2020-01-19 2:38,대구강북경찰서
5893,남자,1,50,0.049,2020-01-19 2:41,대구동부경찰서
5894,남자,1,28,0.067,2020-01-19 2:41,서울서대문경찰서
5895,남자,1,24,0.083,2020-01-19 2:41,일산동부경찰서
5896,남자,1,23,0.077,2020-01-19 2:43,대구성서경찰서
5897,남자,1,46,0.152,2020-01-19 2:52,용인동부경찰서
5898,남자,1,33,0.116,2020-01-19 2:57,진주경찰서
5899,남자,1,28,0.222,2020-01-19 2:59,인천삼산경찰서
5900,여자,1,53,0.14,2020-01-19 3:00,대구동부경찰서
5901,남자,1,32,0.089,2020-01-19 3:00,평택경찰서
5902,남자,1,22,0.061,2020-01-19 3:02,수원중부경찰서
5903,남자,1,42,0.071,2020-01-19 3:03,울산울주경찰서
5904,여자,1,23,0.149,2020-01-19 3:04,군포경찰서
5905,여자,1,43,0.132,2020-01-19 3:07,청주청원경찰서
5906,남자,1,19,0.122,2020-01-19 3:14,전주덕진경찰서
5907,남자,1,57,0.045,2020-01-19 3:14,당진경찰서
5908,남자,1,62,0.092,2020-01-19 3:15,대구성서경찰서
5909,남자,1,24,0.11,2020-01-19 3:16,남양주경찰서
5910,남자,1,51,0.074,2020-01-19 3:17,인천연수경찰서
5911,여자,1,23,0.107,2020-01-19 3:17,화성서부경찰서
5912,남자,1,63,0.137,2020-01-19 3:18,울산남부경찰서
5913,남자,1,40,측정거부,2020-01-19 3:28,화성동탄경찰서
5914,남자,1,49,0.097,2020-01-19 3:34,울산울주경찰서
5915,여자,1,54,0.054,2020-01-19 3:39,광명경찰서
5916,남자,1,51,0.134,2020-01-19 3:41,파주경찰서
5917,남자,1,41,0.114,2020-01-19 3:43,대전중부경찰서
5918,남자,1,25,0.151,2020-01-19 3:44,서울노원경찰서
5919,남자,1,40,0.186,2020-01-19 3:47,광명경찰서
5920,남자,1,49,0.053,2020-01-19 3:49,김포경찰서
5921,남자,1,43,0.061,2020-01-19 3:51,성남수정경찰서
5922,남자,1,27,0.127,2020-01-19 3:57,서울동작경찰서
5923,남자,1,42,0.178,2020-01-19 3:57,서울남대문경찰서
5924,남자,1,25,0.104,2020-01-19 3:57,서울용산경찰서
5925,남자,1,25,0.137,2020-01-19 3:59,원주경찰서
5926,남자,1,40,0.103,2020-01-19 4:02,서울수서경찰서
5927,남자,1,30,0.112,2020-01-19 4:10,김해서부경찰서
5928,남자,1,32,0.108,2020-01-19 4:11,안양동안경찰서
5929,남자,1,58,0.09,2020-01-19 4:17,울산중부경찰서
5930,남자,1,26,0.083,2020-01-19 4:17,광주동부경찰서
5931,남자,1,41,0.087,2020-01-19 4:17,화성동탄경찰서
5932,남자,1,51,0.051,2020-01-19 4:25,광명경찰서
5933,남자,1,35,0.08,2020-01-19 4:36,대전서부경찰서
5934,남자,1,28,0.092,2020-01-19 4:36,서울구로경찰서
5935,여자,1,37,0.134,2020-01-19 4:44,서울관악경찰서
5936,남자,1,60,0.12,2020-01-19 4:47,시흥경찰서
5937,남자,1,46,0.149,2020-01-19 4:48,서울동대문경찰서
5938,남자,1,54,0.263,2020-01-19 4:50,문경경찰서
5939,남자,1,36,0.069,2020-01-19 4:51,안양동안경찰서
5940,남자,1,22,0.075,2020-01-19 4:53,인천부평경찰서
5941,남자,1,37,0.154,2020-01-19 4:55,청주흥덕경찰서
5942,남자,1,22,0.156,2020-01-19 4:55,용인동부경찰서
5943,남자,1,28,0.052,2020-01-19 4:58,서울송파경찰서
5944,여자,1,35,0.173,2020-01-19 5:03,성남중원경찰서
5945,여자,1,49,0.047,2020-01-19 5:10,성남중원경찰서
5946,남자,1,52,0.117,2020-01-19 5:11,음성경찰서
5947,남자,1,35,0.04,2020-01-19 5:13,인천부평경찰서
5948,여자,1,27,0.06,2020-01-19 5:14,보령경찰서
5949,남자,1,30,0.052,2020-01-19 5:16,서울강북경찰서
5950,남자,1,28,0.167,2020-01-19 5:17,대구달서경찰서
5951,남자,1,42,0.092,2020-01-19 5:20,익산경찰서
5952,여자,1,53,0.092,2020-01-19 5:25,인천서부경찰서
5953,남자,1,31,0.038,2020-01-19 5:28,인천계양경찰서
5954,남자,1,27,0.059,2020-01-19 5:35,서울영등포경찰서
5955,남자,1,36,0.222,2020-01-19 5:37,일산서부경찰서
5956,남자,1,55,0.04,2020-01-19 5:42,인천계양경찰서
5957,남자,1,55,0.049,2020-01-19 5:42,부산해운대경찰서
5958,남자,1,18,0.163,2020-01-19 5:42,안산상록경찰서
5959,남자,1,42,0.129,2020-01-19 5:51,용인동부경찰서
5960,남자,1,29,0.095,2020-01-19 5:53,수원남부경찰서
5961,남자,1,21,0.146,2020-01-19 5:57,서울서부경찰서
5962,남자,1,24,0.071,2020-01-19 5:58,서울중랑경찰서
5963,남자,1,57,0.047,2020-01-19 5:58,인천계양경찰서
5964,남자,1,60,0.082,2020-01-19 6:00,서울은평경찰서
5965,남자,1,37,0.046,2020-01-19 6:00,춘천경찰서
5966,남자,1,25,0.146,2020-01-19 6:14,부산강서경찰서
5967,남자,1,32,0.194,2020-01-19 6:15,서울수서경찰서
5968,남자,1,27,0.078,2020-01-19 6:17,서울수서경찰서
5969,남자,1,52,측정거부,2020-01-19 6:20,김제경찰서
5970,남자,1,36,0.114,2020-01-19 6:21,의왕경찰서
5971,여자,1,44,0.213,2020-01-19 6:22,양산경찰서
5972,남자,1,46,0.094,2020-01-19 6:26,용인동부경찰서
5973,여자,1,44,0.069,2020-01-19 6:33,경주경찰서
5974,남자,1,25,0.134,2020-01-19 6:33,서울성동경찰서
5975,남자,1,45,0.049,2020-01-19 6:34,부산사상경찰서
5976,남자,1,19,0.059,2020-01-19 6:37,대전대덕경찰서
5977,여자,1,49,0.12,2020-01-19 6:38,청주상당경찰서
5978,남자,1,24,0.156,2020-01-19 6:41,진주경찰서
5979,남자,1,33,0.154,2020-01-19 6:45,광주북부경찰서
5980,남자,1,22,0.101,2020-01-19 6:48,부산금정경찰서
5981,남자,1,34,0.105,2020-01-19 6:49,부산해운대경찰서
5982,남자,1,40,0.144,2020-01-19 6:54,부산연제경찰서
5983,남자,1,49,0.046,2020-01-19 6:58,광명경찰서
5984,남자,1,26,0.043,2020-01-19 6:58,부산금정경찰서
5985,남자,1,28,0.103,2020-01-19 6:59,부산남부경찰서
5986,남자,1,25,0.099,2020-01-19 6:59,대구달서경찰서
5987,남자,1,28,0.047,2020-01-19 7:00,대구중부경찰서
5988,여자,1,53,0.109,2020-01-19 7:04,광명경찰서
5989,여자,1,28,0.095,2020-01-19 7:04,김해중부경찰서
5990,남자,1,31,0.207,2020-01-19 7:05,청주흥덕경찰서
5991,남자,1,39,0.035,2020-01-19 7:16,울산중부경찰서
5992,남자,1,28,0.065,2020-01-19 7:22,대전둔산경찰서
5993,남자,1,28,0.184,2020-01-19 7:25,천안서북경찰서
5994,남자,1,37,0.093,2020-01-19 7:30,대구달서경찰서
5995,남자,1,28,0.13,2020-01-19 7:31,광주북부경찰서
5996,남자,1,37,0.115,2020-01-19 7:34,서울성북경찰서
5997,여자,1,29,0.129,2020-01-19 7:38,의정부경찰서
5998,남자,1,49,0.19,2020-01-19 7:44,천안동남경찰서
5999,남자,1,28,0.167,2020-01-19 7:45,용인동부경찰서
6000,남자,1,32,0.037,2020-01-19 7:52,수원중부경찰서
6001,남자,1,31,0.106,2020-01-19 7:53,서울송파경찰서
6002,남자,1,35,0.117,2020-01-19 7:56,일산동부경찰서
6003,남자,1,45,0.042,2020-01-19 8:00,수원중부경찰서
6004,남자,1,23,0.141,2020-01-19 8:06,대구남부경찰서
6005,여자,1,49,0.062,2020-01-19 8:16,고양경찰서
6006,남자,1,39,0.102,2020-01-19 8:16,대구중부경찰서
6007,여자,1,49,0.073,2020-01-19 8:33,일산동부경찰서
6008,남자,1,57,0.059,2020-01-19 8:35,부산금정경찰서
6009,남자,1,20,0.075,2020-01-19 8:45,양산경찰서
6010,남자,1,29,0.052,2020-01-19 8:51,진주경찰서
6011,여자,1,37,0.06,2020-01-19 8:58,안산단원경찰서
6012,남자,1,53,0.111,2020-01-19 8:59,가평경찰서
6013,여자,1,37,0.087,2020-01-19 9:01,부산금정경찰서
6014,남자,1,48,0.032,2020-01-19 9:01,여주경찰서
6015,남자,1,21,측정거부,2020-01-19 9:02,전주덕진경찰서
6016,여자,1,31,0.106,2020-01-19 9:11,칠곡경찰서
6017,남자,1,32,0.09,2020-01-19 9:19,서울금천경찰서
6018,여자,1,30,0.072,2020-01-19 9:29,서울동대문경찰서
6019,남자,1,39,0.05,2020-01-19 9:30,여주경찰서
6020,남자,1,52,0.048,2020-01-19 9:43,부산사상경찰서
6021,남자,1,28,0.1,2020-01-19 9:44,서울강남경찰서
6022,남자,1,46,0.104,2020-01-19 9:46,시흥경찰서
6023,남자,1,52,0.053,2020-01-19 9:47,통영경찰서
6024,남자,1,25,0.182,2020-01-19 9:48,서울강서경찰서
6025,남자,1,53,0.039,2020-01-19 9:50,통영경찰서
6026,남자,1,48,0.054,2020-01-19 9:52,여주경찰서
6027,남자,1,59,0.033,2020-01-19 9:55,대구강북경찰서
6028,남자,1,29,0.198,2020-01-19 10:04,서울남대문경찰서
6029,남자,1,25,0.201,2020-01-19 10:08,서울강서경찰서
6030,남자,1,39,0.077,2020-01-19 10:19,부산강서경찰서
6031,남자,1,22,0.171,2020-01-19 10:20,인천미추홀경찰서
6032,남자,1,29,0.1,2020-01-19 10:20,인천강화경찰서
6033,남자,1,45,0.069,2020-01-19 10:26,인천강화경찰서
6034,남자,1,48,0.093,2020-01-19 10:31,대구동부경찰서
6035,남자,1,56,0.045,2020-01-19 10:34,여주경찰서
6036,남자,1,46,0.041,2020-01-19 10:37,서귀포경찰서
6037,남자,1,42,0.046,2020-01-19 10:47,대구수성경찰서
6038,여자,1,25,0.101,2020-01-19 10:47,통영경찰서
6039,남자,1,30,0.083,2020-01-19 10:52,서울관악경찰서
6040,남자,1,34,0.071,2020-01-19 10:57,평택경찰서
6041,남자,1,38,0.141,2020-01-19 10:59,서울강서경찰서
6042,남자,1,40,0.13,2020-01-19 11:01,포천경찰서
6043,남자,1,35,0.057,2020-01-19 11:04,파주경찰서
6044,남자,1,47,0.087,2020-01-19 11:22,공주경찰서
6045,남자,1,66,0.046,2020-01-19 11:25,포천경찰서
6046,남자,1,64,0.052,2020-01-19 11:40,제천경찰서
6047,남자,1,59,0.123,2020-01-19 11:51,울산중부경찰서
6048,남자,1,25,0.116,2020-01-19 11:55,울산중부경찰서
6049,남자,1,56,0.037,2020-01-19 12:54,부천원미경찰서
6050,남자,1,53,0.059,2020-01-19 13:00,대전유성경찰서
6051,남자,1,30,0.057,2020-01-19 13:09,진주경찰서
6052,여자,1,40,측정거부,2020-01-19 13:23,안산상록경찰서
6053,남자,1,57,0.089,2020-01-19 13:29,대전대덕경찰서
6054,남자,1,68,0.035,2020-01-19 13:35,창원서부경찰서
6055,남자,1,35,0.166,2020-01-19 13:41,익산경찰서
6056,남자,1,34,0.177,2020-01-19 13:51,화성서부경찰서
6057,남자,1,40,0.045,2020-01-19 14:01,대전서부경찰서
6058,남자,1,36,0.06,2020-01-19 14:08,대구남부경찰서
6059,남자,1,52,0.065,2020-01-19 14:13,화순경찰서
6060,남자,1,42,0.036,2020-01-19 14:22,진해경찰서
6061,남자,1,58,0.191,2020-01-19 14:25,화순경찰서
6062,남자,1,47,0.199,2020-01-19 14:31,여수경찰서
6063,남자,1,46,0.03,2020-01-19 14:48,진해경찰서
6064,남자,1,57,0.054,2020-01-19 14:49,서귀포경찰서
6065,남자,1,46,0.057,2020-01-19 15:05,대전서부경찰서
6066,남자,1,41,0.065,2020-01-19 15:06,마산중부경찰서
6067,남자,1,48,0.068,2020-01-19 15:08,서울양천경찰서
6068,남자,1,55,0.069,2020-01-19 15:18,마산동부경찰서
6069,남자,1,54,0.081,2020-01-19 15:30,마산중부경찰서
6070,남자,1,57,0.103,2020-01-19 15:52,화성서부경찰서
6071,남자,1,46,0.113,2020-01-19 16:00,대구달서경찰서
6072,남자,1,64,0.047,2020-01-19 16:12,마산중부경찰서
6073,남자,1,45,0.205,2020-01-19 16:14,서산경찰서
6074,남자,1,52,0.072,2020-01-19 16:24,부산연제경찰서
6075,남자,1,64,측정거부,2020-01-19 16:40,영천경찰서
6076,남자,1,59,0.134,2020-01-19 16:47,예천경찰서
6077,남자,1,59,0.12,2020-01-19 16:47,강릉경찰서
6078,남자,1,62,0.053,2020-01-19 16:55,서울중랑경찰서
6079,남자,1,55,측정거부,2020-01-19 17:05,구리경찰서
6080,남자,1,56,0.144,2020-01-19 17:43,서울서부경찰서
6081,남자,1,60,0.05,2020-01-19 17:49,대구수성경찰서
6082,남자,1,56,0.186,2020-01-19 17:52,논산경찰서
6083,남자,1,37,0.209,2020-01-19 17:53,안산단원경찰서
6084,남자,1,47,0.178,2020-01-19 17:53,서울구로경찰서
6085,남자,1,36,0.042,2020-01-19 17:55,괴산경찰서
6086,남자,1,26,0.08,2020-01-19 18:13,횡성경찰서
6087,남자,1,59,0.109,2020-01-19 18:23,횡성경찰서
6088,남자,1,37,0.104,2020-01-19 18:24,금산경찰서
6089,남자,1,60,0.132,2020-01-19 18:26,논산경찰서
6090,남자,1,31,0.23,2020-01-19 18:27,여수경찰서
6091,남자,1,26,0.182,2020-01-19 18:33,파주경찰서
6092,남자,1,43,0.194,2020-01-19 18:37,부산강서경찰서
6093,남자,1,59,0.154,2020-01-19 18:38,청주상당경찰서
6094,남자,1,67,0.113,2020-01-19 18:43,청양경찰서
6095,남자,1,71,0.04,2020-01-19 18:55,하동경찰서
6096,남자,1,44,0.238,2020-01-19 19:00,평택경찰서
6097,남자,1,46,0.141,2020-01-19 19:14,화성동탄경찰서
6098,남자,1,59,0.063,2020-01-19 19:19,부산영도경찰서
6099,남자,1,57,0.107,2020-01-19 19:19,이천경찰서
6100,남자,1,55,0.126,2020-01-19 19:23,화성동탄경찰서
6101,남자,1,41,0.149,2020-01-19 19:28,수원남부경찰서
6102,남자,1,53,0.059,2020-01-19 19:41,서귀포경찰서
6103,남자,1,66,측정거부,2020-01-19 19:46,강릉경찰서
6104,남자,1,34,0.158,2020-01-19 19:50,보성경찰서
6105,남자,1,36,0.091,2020-01-19 20:06,순천경찰서
6106,남자,1,30,0.141,2020-01-19 20:09,평택경찰서
6107,남자,1,51,0.159,2020-01-19 20:10,이천경찰서
6108,남자,1,49,0.101,2020-01-19 20:12,사천경찰서
6109,남자,1,26,0.142,2020-01-19 20:16,성남중원경찰서
6110,남자,1,40,0.1,2020-01-19 20:22,하남경찰서
6111,여자,1,59,0.075,2020-01-19 20:26,정읍경찰서
6112,남자,1,50,0.037,2020-01-19 20:32,울산울주경찰서
6113,남자,1,64,0.084,2020-01-19 20:34,부천오정경찰서
6114,남자,1,47,0.101,2020-01-19 20:37,제주서부경찰서
6115,남자,1,73,0.067,2020-01-19 20:43,광주경찰서
6116,남자,1,44,0.172,2020-01-19 20:45,대구달서경찰서
6117,남자,1,49,0.12,2020-01-19 20:53,대전서부경찰서
6118,여자,1,41,0.076,2020-01-19 20:54,남양주경찰서
6119,남자,1,50,0.075,2020-01-19 20:56,양주경찰서
6120,여자,1,51,0.049,2020-01-19 21:00,제주동부경찰서
6121,여자,1,60,0.069,2020-01-19 21:12,울산동부경찰서
6122,남자,1,55,0.05,2020-01-19 21:18,광주경찰서
6123,남자,1,56,0.047,2020-01-19 21:21,울산동부경찰서
6124,남자,1,46,0.086,2020-01-19 21:22,의정부경찰서
6125,남자,1,51,0.115,2020-01-19 21:22,수원남부경찰서
6126,남자,1,46,0.081,2020-01-19 21:22,울산동부경찰서
6127,남자,1,43,0.126,2020-01-19 21:25,함안경찰서
6128,남자,1,69,0.067,2020-01-19 21:29,포천경찰서
6129,남자,1,51,0.045,2020-01-19 21:35,양주경찰서
6130,남자,1,43,0.037,2020-01-19 21:36,파주경찰서
6131,남자,1,58,0.134,2020-01-19 21:37,군포경찰서
6132,남자,1,45,0.084,2020-01-19 21:40,대구강북경찰서
6133,남자,1,58,0.181,2020-01-19 21:40,오산경찰서
6134,남자,1,29,0.039,2020-01-19 21:45,대전유성경찰서
6135,남자,1,45,0.03,2020-01-19 21:49,대전유성경찰서
6136,여자,1,46,0.063,2020-01-19 21:52,광주광산경찰서
6137,여자,1,54,0.072,2020-01-19 21:53,김포경찰서
6138,남자,1,46,측정거부,2020-01-19 21:55,부산금정경찰서
6139,여자,1,47,0.057,2020-01-19 21:56,양평경찰서
6140,남자,1,63,0.134,2020-01-19 21:56,광명경찰서
6141,여자,1,53,0.038,2020-01-19 21:58,진해경찰서
6142,남자,1,49,0.138,2020-01-19 22:02,하남경찰서
6143,남자,1,29,0.051,2020-01-19 22:04,대전둔산경찰서
6144,여자,1,44,0.089,2020-01-19 22:09,순천경찰서
6145,남자,1,46,0.157,2020-01-19 22:17,안성경찰서
6146,남자,1,46,0.211,2020-01-19 22:18,안양만안경찰서
6147,남자,1,48,0.095,2020-01-19 22:20,공주경찰서
6148,남자,1,48,측정거부,2020-01-19 22:21,창원서부경찰서
6149,남자,1,31,0.151,2020-01-19 22:23,김해서부경찰서
6150,남자,1,28,0.065,2020-01-19 22:26,파주경찰서
6151,여자,1,28,0.256,2020-01-19 22:27,서울은평경찰서
6152,남자,1,41,0.248,2020-01-19 22:28,안산단원경찰서
6153,남자,1,46,0.051,2020-01-19 22:32,화성서부경찰서
6154,남자,1,50,0.032,2020-01-19 22:35,화성서부경찰서
6155,여자,1,59,0.16,2020-01-19 22:35,서울구로경찰서
6156,남자,1,59,0.047,2020-01-19 22:36,안양만안경찰서
6157,여자,1,42,0.041,2020-01-19 22:37,안산단원경찰서
6158,남자,1,46,0.195,2020-01-19 22:38,광주광산경찰서
6159,남자,1,64,0.199,2020-01-19 22:39,광양경찰서
6160,남자,1,38,0.06,2020-01-19 22:43,양산경찰서
6161,남자,1,31,0.122,2020-01-19 22:44,일산서부경찰서
6162,남자,1,38,0.124,2020-01-19 22:46,광주북부경찰서
6163,남자,1,31,0.074,2020-01-19 22:46,일산서부경찰서
6164,여자,1,54,0.117,2020-01-19 22:49,파주경찰서
6165,남자,1,56,0.051,2020-01-19 22:50,수원서부경찰서
6166,남자,1,56,0.104,2020-01-19 22:50,서산경찰서
6167,남자,1,64,0.157,2020-01-19 22:52,공주경찰서
6168,남자,1,43,0.164,2020-01-19 22:52,울산동부경찰서
6169,남자,1,34,0.107,2020-01-19 22:52,안동경찰서
6170,남자,1,39,0.124,2020-01-19 22:53,진주경찰서
6171,남자,1,37,0.073,2020-01-19 22:55,김포경찰서
6172,남자,1,48,0.13,2020-01-19 22:56,대구수성경찰서
6173,남자,1,50,0.214,2020-01-19 22:56,서울강서경찰서
6174,남자,1,74,0.061,2020-01-19 22:57,경주경찰서
6175,남자,1,46,0.101,2020-01-19 22:58,대구수성경찰서
6176,남자,1,28,0.033,2020-01-19 22:58,양산경찰서
6177,여자,1,46,0.043,2020-01-19 22:59,파주경찰서
6178,여자,1,42,0.099,2020-01-19 23:00,광주남부경찰서
6179,남자,1,29,0.098,2020-01-19 23:03,광명경찰서
6180,남자,1,47,0.218,2020-01-19 23:03,광주동부경찰서
6181,남자,1,22,0.032,2020-01-19 23:06,인천남동경찰서
6182,남자,1,46,0.207,2020-01-19 23:08,홍천경찰서
6183,남자,1,57,0.035,2020-01-19 23:10,광주남부경찰서
6184,남자,1,57,0.06,2020-01-19 23:13,안산단원경찰서
6185,남자,1,28,0.095,2020-01-19 23:14,광주북부경찰서
6186,남자,1,42,0.113,2020-01-19 23:14,전주완산경찰서
6187,남자,1,53,0.053,2020-01-19 23:15,시흥경찰서
6188,남자,1,32,0.066,2020-01-19 23:16,서울강남경찰서
6189,남자,1,58,0.104,2020-01-19 23:17,용인동부경찰서
6190,여자,1,45,0.087,2020-01-19 23:18,동두천경찰서
6191,남자,1,41,0.098,2020-01-19 23:21,양산경찰서
6192,여자,1,29,0.053,2020-01-19 23:26,안산단원경찰서
6193,남자,1,63,측정거부,2020-01-19 23:34,거창경찰서
6194,남자,1,45,0.122,2020-01-19 23:36,의정부경찰서
6195,남자,1,57,0.103,2020-01-19 23:45,울산중부경찰서
6196,여자,1,43,0.124,2020-01-19 23:50,구미경찰서
6197,남자,1,42,0.069,2020-01-19 23:52,인천미추홀경찰서
6198,여자,1,46,0.156,2020-01-19 23:52,삼척경찰서
6199,남자,1,27,0.092,2020-01-19 23:52,인천미추홀경찰서
6200,남자,1,37,0.115,2020-01-19 23:55,울산중부경찰서
6201,남자,1,34,0.054,2020-01-19 23:56,구리경찰서
6202,남자,1,46,0.03,2020-01-19 23:57,포항남부경찰서
6203,남자,1,22,0.048,2020-01-19 23:59,서울도봉경찰서
6204,남자,1,23,0.03,2020-01-20 0:00,영동경찰서
6205,남자,1,39,0.128,2020-01-20 0:00,동해경찰서
6206,남자,1,27,0.112,2020-01-20 0:05,성남중원경찰서
6207,남자,1,58,0.095,2020-01-20 0:07,인천서부경찰서
6208,남자,1,28,0.043,2020-01-20 0:09,분당경찰서
6209,남자,1,28,0.072,2020-01-20 0:13,양산경찰서
6210,남자,1,55,0.215,2020-01-20 0:16,일산서부경찰서
6211,남자,1,28,0.14,2020-01-20 0:19,분당경찰서
6212,남자,1,54,0.197,2020-01-20 0:23,마산동부경찰서
6213,남자,1,26,0.047,2020-01-20 0:26,수원중부경찰서
6214,남자,1,35,0.167,2020-01-20 0:31,인천서부경찰서
6215,남자,1,44,0.045,2020-01-20 0:31,인천논현경찰서
6216,여자,1,27,0.087,2020-01-20 0:32,울산남부경찰서
6217,남자,1,37,0.068,2020-01-20 0:35,대구성서경찰서
6218,남자,1,28,0.071,2020-01-20 0:35,인천서부경찰서
6219,남자,1,25,0.129,2020-01-20 0:38,울산남부경찰서
6220,남자,1,34,0.074,2020-01-20 0:39,서울동작경찰서
6221,여자,1,22,0.107,2020-01-20 0:42,광주서부경찰서
6222,남자,1,24,0.169,2020-01-20 0:45,평택경찰서
6223,남자,1,27,0.032,2020-01-20 0:47,인천부평경찰서
